Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010054.logjez,03018,0001,1503,0054,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,40174767
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010055.logjez,03018,0001,1503,0055,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,AD948098
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010056.logjez,03018,0001,1619,0056,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,E2148FDD
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010058.logjez,03018,0001,1511,0058,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,D0641A5C
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010059.logjez,03018,0001,1511,0059,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,94464D33
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010060.logjez,03018,0001,3387,0060,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,FF95CE00
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010063.logjez,03018,0001,1619,0063,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,844EA573
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010064.logjez,03018,0001,3298,0064,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,AB322A0C
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010065.logjez,03018,0001,1570,0065,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2291757E
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010067.logjez,03018,0001,3298,0067,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,236BC9DE
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010068.logjez,03018,0001,1619,0068,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,16C704A5
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010069.logjez,03018,0001,1619,0069,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,75DE1BD6
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010070.logjez,03018,0001,1627,0070,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,329BADE4
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010071.logjez,03018,0001,1627,0071,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,41000B17
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010072.logjez,03018,0001,1627,0072,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,48905639
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010073.logjez,03018,0001,1627,0073,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,8A2AD6F6
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010074.logjez,03018,0001,1775,0074,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,1A56F9B3
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010075.logjez,03018,0001,1759,0075,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,B51F9582
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010076.logjez,03018,0001,1996,0076,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,A7B0A075
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010077.logjez,03018,0001,1503,0077,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,134FFFA9
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010078.logjez,03018,0001,3395,0078,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,10536059
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010079.logjez,03018,0001,3395,0079,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,65CD00CD
